date_id,date,year,month,month_name,quarter,week,day_of_week,is_weekend
20180131,2018-01-31,2018,1,January,1,5,Wednesday,0
20180113,2018-01-13,2018,1,January,1,2,Saturday,1
20180112,2018-01-12,2018,1,January,1,2,Friday,0
20160224,2016-02-24,2016,2,February,1,8,Wednesday,0
20161025,2016-10-25,2016,10,October,4,43,Tuesday,0
20160330,2016-03-30,2016,3,March,1,13,Wednesday,0
20161030,2016-10-30,2016,10,October,4,43,Sunday,1
20161128,2016-11-28,2016,11,November,4,48,Monday,0
20161231,2016-12-31,2016,12,December,4,52,Saturday,1
20151025,2015-10-25,2015,10,October,4,43,Sunday,1
20160611,2016-06-11,2016,6,June,2,23,Saturday,1
20160824,2016-08-24,2016,8,August,3,34,Wednesday,0
20160413,2016-04-13,2016,4,April,2,15,Wednesday,0
20160522,2016-05-22,2016,5,May,2,20,Sunday,1
20161004,2016-10-04,2016,10,October,4,40,Tuesday,0
20161108,2016-11-08,2016,11,November,4,45,Tuesday,0
20161111,2016-11-11,2016,11,November,4,45,Friday,0
20161208,2016-12-08,2016,12,December,4,49,Thursday,0
20150707,2015-07-07,2015,7,July,3,28,Tuesday,0
20170722,2017-07-22,2017,7,July,3,29,Saturday,1
20170807,2017-08-07,2017,8,August,3,32,Monday,0
20150922,2015-09-22,2015,9,September,3,39,Tuesday,0
20170702,2017-07-02,2017,7,July,3,26,Sunday,1
20150908,2015-09-08,2015,9,September,3,37,Tuesday,0
20170820,2017-08-20,2017,8,August,3,33,Sunday,1
20170804,2017-08-04,2017,8,August,3,31,Friday,0
20170918,2017-09-18,2017,9,September,3,38,Monday,0
20150702,2015-07-02,2015,7,July,3,27,Thursday,0
20150328,2015-03-28,2015,3,March,1,13,Saturday,1
20170402,2017-04-02,2017,4,April,2,13,Sunday,1
20170505,2017-05-05,2017,5,May,2,18,Friday,0
20150425,2015-04-25,2015,4,April,2,17,Saturday,1
20170606,2017-06-06,2017,6,June,2,23,Tuesday,0
20170218,2017-02-18,2017,2,February,1,7,Saturday,1
20150426,2015-04-26,2015,4,April,2,17,Sunday,1
20150410,2015-04-10,2015,4,April,2,15,Friday,0
20170411,2017-04-11,2017,4,April,2,15,Tuesday,0
20170316,2017-03-16,2017,3,March,1,11,Thursday,0
20150329,2015-03-29,2015,3,March,1,13,Sunday,1
20150203,2015-02-03,2015,2,February,1,6,Tuesday,0
20170118,2017-01-18,2017,1,January,1,3,Wednesday,0
20150313,2015-03-13,2015,3,March,1,11,Friday,0
20170207,2017-02-07,2017,2,February,1,6,Tuesday,0
20150403,2015-04-03,2015,4,April,2,14,Friday,0
20170413,2017-04-13,2017,4,April,2,15,Thursday,0
20150402,2015-04-02,2015,4,April,2,14,Thursday,0
20170131,2017-01-31,2017,1,January,1,5,Tuesday,0
20170330,2017-03-30,2017,3,March,1,13,Thursday,0
20170325,2017-03-25,2017,3,March,1,12,Saturday,1
20170205,2017-02-05,2017,2,February,1,5,Sunday,1
20170415,2017-04-15,2017,4,April,2,15,Saturday,1
20150215,2015-02-15,2015,2,February,1,7,Sunday,1
20170527,2017-05-27,2017,5,May,2,21,Saturday,1
20150225,2015-02-25,2015,2,February,1,9,Wednesday,0
20170531,2017-05-31,2017,5,May,2,22,Wednesday,0
20150115,2015-01-15,2015,1,January,1,3,Thursday,0
20170426,2017-04-26,2017,4,April,2,17,Wednesday,0
20170307,2017-03-07,2017,3,March,1,10,Tuesday,0
20170420,2017-04-20,2017,4,April,2,16,Thursday,0
20170303,2017-03-03,2017,3,March,1,9,Friday,0
20170604,2017-06-04,2017,6,June,2,22,Sunday,1
20170516,2017-05-16,2017,5,May,2,20,Tuesday,0
20150527,2015-05-27,2015,5,May,2,22,Wednesday,0
20170328,2017-03-28,2017,3,March,1,13,Tuesday,0
20170502,2017-05-02,2017,5,May,2,18,Tuesday,0
20170403,2017-04-03,2017,4,April,2,14,Monday,0
20150430,2015-04-30,2015,4,April,2,18,Thursday,0
20170427,2017-04-27,2017,4,April,2,17,Thursday,0
20150202,2015-02-02,2015,2,February,1,6,Monday,0
20170213,2017-02-13,2017,2,February,1,7,Monday,0
20170319,2017-03-19,2017,3,March,1,11,Sunday,1
20150507,2015-05-07,2015,5,May,2,19,Thursday,0
20150427,2015-04-27,2015,4,April,2,18,Monday,0
20170414,2017-04-14,2017,4,April,2,15,Friday,0
20170612,2017-06-12,2017,6,June,2,24,Monday,0
20170326,2017-03-26,2017,3,March,1,12,Sunday,1
20170217,2017-02-17,2017,2,February,1,7,Friday,0
20170125,2017-01-25,2017,1,January,1,4,Wednesday,0
20170206,2017-02-06,2017,2,February,1,6,Monday,0
20170522,2017-05-22,2017,5,May,2,21,Monday,0
20170221,2017-02-21,2017,2,February,1,8,Tuesday,0
20150106,2015-01-06,2015,1,January,1,2,Tuesday,0
20170115,2017-01-15,2017,1,January,1,2,Sunday,1
20161028,2016-10-28,2016,10,October,4,43,Friday,0
20160919,2016-09-19,2016,9,September,3,38,Monday,0
20160825,2016-08-25,2016,8,August,3,34,Thursday,0
20161007,2016-10-07,2016,10,October,4,40,Friday,0
20161103,2016-11-03,2016,11,November,4,44,Thursday,0
20171103,2017-11-03,2017,11,November,4,44,Friday,0
20171014,2017-10-14,2017,10,October,4,41,Saturday,1
