order_year,order_month,total_orders,total_revenue,total_profit,avg_delay_days,on_time_rate_pct,avg_profit_margin,cancelled_orders,fulfilled_orders,perfect_orders,revenue_at_risk,avg_cost_per_order
2015,1,5341,1054316.88,112213.35,0.54,43.98,10.48,84,5133,2238,42735.65,176.4
2015,2,4752,932168.86,99720.36,0.6,42.09,10.73,127,4510,1903,45342.91,175.2
2015,3,5378,1054392.69,114361.82,0.57,42.8,11.35,115,5141,2198,43755.62,174.79
2015,4,5150,1018519.52,107687.48,0.55,43.55,9.88,122,4939,2165,42160.13,176.86
2015,5,5382,1055126.92,112352.22,0.56,41.97,10.83,135,5110,2148,53815.47,175.19
2015,6,5163,1029983.95,111239.67,0.54,43.71,11.03,98,4933,2139,45266.92,177.97
2015,7,5334,1045660.64,116577.4,0.57,42.37,11.05,76,5155,2197,34445.58,174.18
2015,8,5305,1035951.81,117945.29,0.59,41.96,11.76,126,5055,2107,45840.62,173.06
2015,9,5166,1024190.69,114030.54,0.58,41.21,11.22,92,4951,2025,43020.48,176.18
2015,10,5337,1055724.76,100956.5,0.54,42.96,10.29,108,5107,2186,45060.4,178.9
2015,11,5264,1033845.31,105287.25,0.56,43.64,10.48,117,5047,2192,40319.04,176.39
2015,12,5397,1064009.39,111157.52,0.56,42.78,10.17,120,5174,2226,44712.59,176.55
2016,1,5334,1049814.94,107309.14,0.6,42.03,10.04,105,5122,2156,38502.5,176.71
2016,2,4924,974043.52,87743.41,0.55,43.64,9.6,86,4713,2045,40170.72,180.01
2016,3,5236,1030336.73,101918.98,0.56,42.28,10.21,76,5046,2130,38182.67,177.32
2016,4,5135,1009415.09,116108.89,0.58,42.77,11.12,98,4916,2082,45958.73,173.95
2016,5,5330,1035302.8,111280.41,0.59,42.03,10.74,144,5071,2104,51255.45,173.36
2016,6,5077,1006580.52,104941.19,0.64,41.01,10.71,106,4867,1976,41680.25,177.59
2016,7,5330,1050203.99,120262.98,0.53,44.78,11.24,132,5019,2249,58108.44,174.47
2016,8,5362,1054055.96,111613.27,0.52,43.1,10.1,88,5197,2237,31783.63,175.76
2016,9,5184,1006196.34,123936.39,0.56,43.21,12.24,102,4993,2146,36565.92,170.19
2016,10,5428,1054190.77,117575.55,0.57,43.02,11.4,102,5234,2259,36182.15,172.55
2016,11,5248,1055368.3,110523.02,0.58,42.97,10.79,124,4994,2122,51125.37,180.05
2016,12,5303,1043525.22,104959.68,0.55,41.37,10.05,92,5085,2107,41959.29,176.98
2017,1,5243,1034458.91,115573.64,0.54,44.06,11.42,75,5059,2249,37279.04,175.26
2017,2,4934,997996.52,113964.88,0.59,42.46,11.82,102,4701,2004,45143.05,179.17
2017,3,5376,1053068.52,119619.62,0.57,42.19,10.71,109,5172,2200,40330.36,173.64
2017,4,5242,1045288.36,115924.61,0.57,43.49,10.52,114,5006,2186,47888.28,177.26
2017,5,5365,1114291.93,116488.93,0.54,43.11,10.73,126,5082,2210,58524.35,185.98
2017,6,4977,1037791.68,111329.47,0.52,44.04,10.8,88,4755,2093,46468.14,186.16
2017,7,5353,1111762.8,113299.71,0.58,41.7,10.36,131,5086,2152,57397.92,186.5
2017,8,5341,1116567.24,133063.06,0.61,41.42,12.05,77,5145,2132,41962.26,184.13
2017,9,5222,1150765.04,122189.6,0.53,42.74,11.21,140,4963,2133,55552.74,196.96
2017,10,2275,1083321.11,114914.53,0.54,43.82,11.44,36,2188,965,44613.84,425.67
2017,11,2062,628724.97,68101.06,0.58,42.24,9.68,51,1962,826,28418.27,271.87
2017,12,2137,506878.82,66427.96,0.58,41.83,12.48,47,2044,864,23065.15,206.11
2018,1,2132,333202.32,34092.93,0.61,41.28,10.01,45,2046,845,14937.39,140.3
