market,order_region,total_orders,total_revenue,total_profit,on_time_rate_pct,avg_delay_days,revenue_at_risk
Europe,Western Europe,27288,5934241.72,630727.19,41.52,0.6,267863.92
Latam,Central America,28485,5692942.5,618582.54,42.72,0.56,234604.51
Latam,South America,15010,2975705.71,336430.1,42.77,0.56,148759.19
Europe,Northern Europe,9854,2170768.05,232959.68,43.6,0.55,84545.21
Europe,Southern Europe,9481,2058640.49,232302.45,43.25,0.52,91534.08
Pacific Asia,Oceania,10196,2026278.66,203975.56,43.95,0.55,82010.59
Pacific Asia,Southeast Asia,9588,1943083.4,211147.79,42.01,0.56,82017.85
Latam,Caribbean,8361,1659162.5,171754.6,44.12,0.55,72479.05
Usca,West Of Usa,8035,1579365.7,165900.01,43.37,0.56,81258.1
Pacific Asia,South Asia,7781,1562530.28,166581.37,41.49,0.6,54869.88
Pacific Asia,Eastern Asia,7305,1491113.35,148137.6,43.3,0.57,58790.87
Usca,East Of Usa,6961,1380249.75,157794.92,42.03,0.58,57932.6
Pacific Asia,West Asia,6038,1180580.87,119526.69,42.5,0.57,51915.98
Usca,Us Center,5914,1156999.46,131676.93,42.92,0.59,43841.94
Usca,South Of  Usa,4067,789874.38,88786.03,41.87,0.58,37866.77
Europe,Eastern Europe,3947,779976.6,80020.54,42.49,0.58,27295.65
Africa,West Africa,3714,730712.35,80055.67,45.02,0.55,25653.09
Africa,North Africa,3255,638109.51,64439.08,43.2,0.56,27941.73
Africa,East Africa,1865,378819.61,43647.04,42.47,0.57,13158.44
Africa,Central Africa,1683,328676.69,33840.94,39.28,0.64,11623.65
Africa,Southern Africa,1168,230401.87,31212.46,43.58,0.48,10722.88
Usca,Canada,968,188674.75,24125.08,48.04,0.39,10065.68
Pacific Asia,Central Asia,555,110135.6,13068.07,42.88,0.65,2779.66
