department_id,department_name,total_orders,total_revenue,total_profit,avg_delay_days,on_time_rate,avg_lead_time_days,avg_profit_margin,total_cancelled,total_fulfilled,total_revenue_at_risk,distinct_products,regions_served,cancellation_rate,fulfillment_rate,on_time_rate_pct
2,Fitness,2479,397050.8918764505,46538.060136638,0.5841064945542558,0.4219443323920936,3.5050423557886243,11.761319080274305,51,2374,16891.17007388,15,23,2.06,95.76,42.19
3,Footwear,14525,4006498.767689763,410222.4986239569,0.5606884681583477,0.4277452667814113,3.492461273666093,10.661186919104992,306,13891,172666.60002444993,15,23,2.11,95.64,42.77
4,Apparel,48998,7976255.341231856,881882.9295532322,0.5719417119066085,0.428364423037675,3.5047757051308217,11.022723784644274,987,46884,344581.23132725107,8,23,2.01,95.69,42.84
5,Golf,33220,4609028.242088083,497523.5598548648,0.5656833232992173,0.4265803732691149,3.4885009030704395,10.68608398555087,708,31768,201046.00101529996,8,23,2.13,95.63,42.66
6,Outdoors,9686,1253351.449835462,145251.46005859395,0.574127606855255,0.4214329960768119,3.5253974809002684,11.30188003303737,197,9267,52413.54014678,53,23,2.03,95.67,42.14
7,Fan Shop,66861,17113870.940008227,1834155.435832605,0.559982650573578,0.4280372713540031,3.4945932606452192,10.771228668431547,1345,64033,721452.5067720333,9,23,2.01,95.77,42.8
8,Book Shop,405,12587.399967600004,883.0100077940001,0.5333333333333333,0.4246913580246914,3.3901234567901235,7.015209876543209,3,391,435.11999888,1,7,0.74,96.54,42.47
9,Discs Shop,2026,228887.72970845987,24193.120007457,0.5493583415597236,0.4328726554787759,3.562191510365252,9.784807502467917,44,1943,9817.990013579998,4,7,2.17,95.9,43.29
10,Technology,1465,1039598.9671438996,113170.01004233996,0.5856655290102389,0.4163822525597269,3.449146757679181,11.31315358361775,37,1396,44624.5603628,3,7,2.53,95.29,41.64
11,Pet Shop,492,41524.80075275998,3589.259958613999,0.709349593495935,0.3861788617886179,3.388211382113821,8.64380081300813,9,472,1688.0000306,1,4,1.83,95.93,38.62
12,Health And Beauty,362,106080.48307700004,9493.629974264,0.5331491712707183,0.4143646408839779,3.458563535911602,8.949558011049723,5,346,4688.640136,1,4,1.38,95.58,41.44
